с. Абланица
с. Абрит
с. Аврамово
с. Аврен
с. Агатово
с. Азманите
с. Айдемир
с. Айрово
с. Айтос
с. Аканджиево
с. Акациево
с. Аксаково
с. Аламовци
с. Албанци
с. Алваново
с. Алдомировци
с. Алеко Константиново
с. Алеково
с. Александрия
с. Александрово
с. Александър Стамболи
с. Алендарова
с. Алиговска
с. Алино
с. Алтимир
с. Алфатар
с. Алцек
с. Ангел войвода
с. Ангеларий
с. Ангелов
с. Анево
с. Антимово
с. Антон
с. Антоново
с. Аплаци
с. Априлово
с. Априлци
с. Арбанаси
с. Арда
с. Ардино
с. Арзан
с. Арковна
с. Армените
с. Армянковци
с. Арнаутито
с. Арпаджик
с. Арчар
с. Асен
с. Асеновград
с. Асеновец
с. Асеново
с. Асеновци
с. Аспарухово
с. Атия
с. Атолово
с. Ауста
с. Ахелой
с. Ахматово
с. Ахрянско
с. Ахтопол
с. Баба Стана
с. Баба Тонка
с. Бабек
с. Бабино
с. Бабинска река
с. Бабинци
с. Бабица
с. Баблон
с. Бабово
с. Бабук
с. Бабяк
с. Багалевци
с. Багра
с. Багренци
с. Багрилци
с. Багрянка
с. Бадевци
с. Бадино
с. Баева ливада
с. Баевци
с. Баждари
с. Байкал
с. Байкалско
с. Байково
с. Байлово
с. Бакалите
с. Бакьово
с. Балабаново
с. Балабанско
с. Балабанчево
с. Балалея
с. Баланите
с. Баланово
с. Балван
с. Балванците
с. Балдево
с. Балей
с. Балик
с. Балиновци
с. Балкан
с. Балкан махала
с. Балканец
с. Балкански
с. Балканци
с. Балуци
с. Балчик
с. Балша
с. Бальовци
с. Балювица
с. Банари
с. Бангейци
с. Банево
с. Баниска
с. Баните
с. Баница
с. Баничан
с. Банище
с. Банковец
с. Банковци
с. Банкя
с. Баново
с. Банско
с. Банчовци
с. Баня
с. Бараково
с. Бараци
с. Барутин
с. Басарбово
с. Баскалци
с. Бата
с. Батак
с. Батановци
с. Батин
с. Батишница
с. Батово
с. Батошево
с. Батулия
с. Батулци
с. Баурене
с. Бахалин
с. Баховица
с. Бахреци
с. Бацова махала
с. Бачево
с. Бачково
с. Башево
с. Бащино
с. Баячево
с. Бдинци
с. Беброво
с. Беглеж
с. Бегово
с. Бегуновци
с. Бегунци
с. Беден
с. Беджене
с. Бедрово
с. Бежаново
с. Безводица
с. Безводно
с. Безден
с. Безденица
с. Безмер
с. Бейковци
с. Бекриите
с. Бел камен
с. Бела
с. Бела Рада
с. Беланица
с. Беласица
с. Белащица
с. Белгун
с. Белев дол
с. Белевехчево
с. Белеврен
с. Белене
с. Беленци
